"","timestamp","no_jitter_60m_count"
"1","apr_2015",712
"2","apr_2016",699
"3","aug_2015",246
"4","aug_2016",703
"5","aug_2017",714
"6","dec_2015",372
"7","dec_2016",2
"8","feb_2015",671
"9","feb_2016",128
"10","jan_2015",593
"11","jan_2016",368
"12","jul_2015",717
"13","jul_2016",649
"14","jul_2017",717
"15","jun_2015",706
"16","jun_2016",646
"17","jun_2017",637
"18","mar_2015",714
"19","mar_2016",480
"20","may_2015",691
"21","may_2016",428
"22","may_2017",171
"23","nov_2015",446
"24","nov_2016",133
"25","oct_2015",421
"26","oct_2016",637
"27","sep_2015",194
"28","sep_2016",624
"29","sep_2017",687
