"","pjtn_yesterday_pjtn_max_value","pjtn_yesterday_pjtn_min_value","pjtn_yesterday_pjtn_median_value","pjtn_yesterday_pjtn_average_value","pjtn_yesterday_pjtn_event_count","pjtn_yesterday_pjtn_event_max_value","pjtn_yesterday_pjtn_event_median_value","pjtn_yesterday_pjtn_event_average_value","sigma_yesterday_sigma_max_value","sigma_yesterday_sigma_min_value","sigma_yesterday_sigma_median_value","sigma_yesterday_sigma_average_value","sigma_yesterday_sigma_event_count","sigma_yesterday_sigma_event_max_value","sigma_yesterday_sigma_event_median_value","sigma_yesterday_sigma_event_average_value","thy_resv_yesterday_thy_resv_median_value","thy_resv_yesterday_thy_resv_average_value","thy_resv_yesterday_thy_resv_high_var","swrd_trip_count","temp_max_value","temp_min_value","temp_median_value","temp_average_value","dqi_yesterday_dqi_max_value","dqi_yesterday_dqi_min_value","dqi_yesterday_dqi_median_value","dqi_yesterday_dqi_average_value","hvv_yesterday_hvv_max_value","hvv_yesterday_hvv_min_value","hvv_yesterday_hvv_median_value","hvv_yesterday_hvv_average_value","wndw_yesterday_wndw_max_value","wndw_yesterday_wndw_min_value","wndw_yesterday_wndw_median_value","wndw_yesterday_wndw_average_value","jitter_event_60m_15v_count","jitter_60m_15v","no_jitter_60m_count","no_jitter_60m_15v","jitter_event_60m_20v_count","jitter_60m_20v","jitter_event_120m_15v_count","jitter_120m_15v","jitter_event_120m_20v_count","jitter_120m_20v","jitter_event_180m_15v_count","jitter_180m_15v","jitter_event_180m_20v_count","jitter_180m_20v","timestamp"
"1",NA,NA,NA,NA,NA,NA,NA,NA,0.359604,0.0736365,0.1692195,0.154687401209677,62,0.359604,0.1692195,0.196296612903226,6,6,0,NA,NA,NA,NA,NA,22,0,14,12.9317414676835,22.1125,0.3075,21.93,21.9186064482519,106.781,102.978,105.076,105.159098958333,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",2015-02-28
"2",0.616802,0.0621481,0.248592,0.172517460408213,68,0.540009,0.240698,0.279498897058824,0.331835,0.0732612,0.251866,0.177812594761905,35,0.331835,0.251866,0.225923771428571,6,6,0,NA,NA,NA,NA,NA,21.5,1,15,14.0138993710692,22.0975,21.7125,21.945,21.937844119009,107.148,103.395,104.556,104.934015972222,"17","1","7","1","4","1","9","1","1","1","6","1","1","1",2015-03-01
"3",0.66356,0.0621481,0.259984,0.176512967868565,67,0.66356,0.252447,0.320666462686567,0.41604,0.0790526,0.224896,0.182571953431373,51,0.41604,0.224896,0.23858531372549,6,6,0,NA,NA,NA,NA,NA,23.5,1,14,13.5217926619059,22.1425,21.72,21.935,21.9342986111111,106.885,103.625,104.8425,104.880225231481,"16","1","8","1","4","1","9","1","2","1","6","1","2","1",2015-03-02
"4",11.0876,0,0.284798,0.19269074858038,78,11.0876,0.2726675,0.544546384615385,0.324892,0.0585315,0.2070845,0.175600420833333,42,0.324892,0.2070845,0.212163428571429,6,6,1,NA,NA,NA,NA,NA,23.5,1,16,14.6072338618347,22.1375,21.5075,21.95,21.9105421442631,107.15,103.447,104.738,105.017613541667,"21","1","3","1","6","1","11","1","4","1","8","1","2","1",2015-03-03
"5",9.24911,0,0.481397,0.284479618885753,89,9.24911,0.458803,0.709558550561798,0.359068,0.0626579,0.273392,0.245234235157791,169,0.359068,0.273392,0.271415781065089,6,6,0,NA,NA,NA,NA,NA,17.5,0,8.5,7.57123975680677,21.9975,8.7475,21.615,21.6825732229683,107.151,102.64,104.782,104.775728472222,"24","1","1","1","18","1","12","1","9","1","8","1","7","1",2015-03-04
"6",0.741882,0.0761155,0.4350305,0.24223518984617,90,0.741882,0.400361,0.388880144444444,0.338338,0.0657539,0.274445,0.2145460178487,141,0.338338,0.274445,0.255898631205674,6,6,0,NA,NA,NA,NA,NA,18.5,1,7.5,7.52937649880096,22.0275,21.345,21.825,21.8170289351852,107.484,102.793,104.939,105.126147569444,"23","1","0","0","15","1","12","1","9","1","8","1","6","1",2015-03-05
"7",1.29247,0.0982647,0.372888,0.22376680386946,89,1.29247,0.31074,0.364066224719101,0.330837,0.0636172,0.268757,0.201765042424242,77,0.330837,0.268757,0.241831922077922,6,6,0,NA,NA,NA,NA,NA,19,0.5,10.5,9.60005234916896,23.31,15.8275,21.875,21.8628310185185,107.598,103.277,105.155,105.418428703704,"23","1","0","0","10","1","12","1","6","1","8","1","4","1",2015-03-06
"8",2.02339,0.0878906,0.395508,0.234866961572145,84,2.02339,0.3702805,0.391614238095238,0.303454,0.065464,0.208049,0.172778150583333,100,0.303454,0.208049,0.20691821,6,6,0,NA,NA,NA,NA,NA,20,0,8,7.41964723174914,25.09,7.47,21.845,21.8334300845005,107.94,102.6,104.9945,105.540276157407,"21","1","0","0","17","1","10","1","8","1","8","1","6","1",2015-03-07
"9",0.860027,0.116268,0.465073,0.290600496449902,95,0.807925,0.443826,0.438181189473684,0.365066,0.0612985,0.2666905,0.227911050374532,178,0.365066,0.2666905,0.256193786516854,6,6,0,NA,NA,NA,NA,NA,18,1,3.5,5.15035997784752,22.02,21.6375,21.7775,21.7856111818498,107.509,103.785,105.228,105.495858449074,"24","1","0","0","22","1","12","1","11","1","8","1","7","1",2015-03-08
"10",0.860027,0.0982647,0.443826,0.277256378310432,96,0.860027,0.430574,0.412502385416667,0.331587,0.0667851,0.2616395,0.228407647128378,148,0.331587,0.2616395,0.254071648648649,6,6,0,NA,NA,NA,NA,NA,19,1,9,8.05393413527904,22.035,21.56,21.7775,21.7945864683412,107.631,104.069,105.282,105.612539699074,"24","1","0","0","21","1","12","1","12","1","8","1","8","1",2015-03-09
"11",0.878906,0.116268,0.393059,0.247512992939829,95,0.832645,0.343224,0.369807863157895,0.293615,0.0618345,0.164212,0.146583403205128,65,0.293615,0.164212,0.179286107692308,6,6,0,NA,NA,NA,NA,NA,22,1,9,8.30169303358313,22.1025,21.515,21.8475,21.8448912037037,107.468,104.323,105.4085,105.636729398148,"24","1","0","0","21","1","12","1","11","1","8","1","8","1",2015-03-10
"12",0.898464,0.107644,0.454574,0.291826502371202,95,0.898464,0.419212,0.452488978947368,0.18916,0.0488408,0.139361,0.109190275957557,46,0.18916,0.139361,0.144001326086957,6,6,0,NA,NA,NA,NA,NA,21.5,1,12,10.7104386995691,22.0975,21.4725,21.8325,21.8391490788246,107.36,104.171,105.4355,105.655348136864,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-03-11
"13",2.03813,0,0.450305,0.306157685379626,95,2.03813,0.423793,0.512057852631579,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20.5,0,14,13.2017277763123,22.0775,0.27,21.9275,21.8913859953704,107.815,102.363,105.2425,105.550531597222,"23","1","0","0","23","1","12","1","12","1","8","1","8","1",2015-03-12
"14",1.89271,0,0.435036,0.248864529719318,84,1.89271,0.3459805,0.431231166666667,0.297332,0.0675251,0.251972,0.218013172067901,54,0.297332,0.251972,0.245629296296296,6,6,1,NA,NA,NA,NA,NA,36.5,0,12.5,11.8806317539485,22.075,0.0025,21.84,21.6666750653229,107.786,94.6608,105.8,105.449041631944,"23","1","1","1","13","1","11","1","7","1","7","1","5","1",2015-03-13
"15",0.810311,0.0621481,0.281387,0.174493296988331,83,0.810311,0.263672,0.330451518072289,0.131717,0.0775251,0.131717,0.092521475,1,0.131717,0.131717,0.131717,6,6,0,NA,NA,NA,NA,NA,22.5,19.5,21,20.9265734265734,21.725,21.655,21.6625,21.6614454879543,108.888,104.576,106.064,106.356221527778,"21","1","2","1","5","1","11","1","3","1","8","1","2","1",2015-03-14
"16",0.805531,0.0621481,0.248592,0.163815045301583,81,0.805531,0.240698,0.280180530864198,0.122048,0.0834115,0.122048,0.097373725,1,0.122048,0.122048,0.122048,6,6,0,NA,NA,NA,NA,NA,21,19.5,20,20.0253164556962,21.6925,21.6525,21.66,21.6597555521283,108.642,105.051,106.242,106.389820138889,"20","1","3","1","0","0","11","1","0","0","8","1","0","0",2015-03-15
"17",0.805531,0.0761155,0.270897,0.173208714238262,79,0.805531,0.252447,0.301887594936709,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,NA,NA,NA,NA,NA,20,19.5,19.5,19.6808595304417,21.6775,21.6525,21.66,21.6589004843995,107.434,104.648,105.723,105.828161226852,"20","1","4","1","3","1","11","1","0","0","8","1","0","0",2015-03-16
"18",2.05653,0.0621481,0.232537,0.150253526689771,54,2.05653,0.232537,0.326936814814815,5.0088,0.0646103,0.16589,0.497055883333333,3,5.0088,0.16589,1.765325,6,6,0,NA,NA,NA,NA,NA,29.5,0.5,19.5,19.5512820512821,21.93,9.0225,21.66,21.6575912024233,108.215,104.934,106.1565,106.376564699074,"13","1","12","1","0","0","8","1","0","0","4","1","0","0",2015-03-17
"19",2.3763,0.0621481,0.232537,0.149160747330524,45,2.3763,0.240698,0.339920155555556,0.138131,0.0668548,0.130421,0.087653975,2,0.138131,0.130421,0.130421,6,6,0,NA,NA,NA,NA,NA,27,0.5,19.5,19.6696675900277,21.8525,17.8525,21.66,21.6585457863305,108.307,104.318,105.5925,106.06461412037,"12","1","12","1","1","1","6","1","0","0","4","1","0","0",2015-03-18
"20",1.97069,0.0439453,0.248592,0.159119087404349,54,1.97069,0.2386755,0.314301537037037,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20.5,0.5,19.5,19.6532211259431,22.455,12.745,21.66,21.6580716902145,108.735,104.332,105.888,106.238531597222,"14","1","7","1","1","1","8","1","0","0","5","1","0","0",2015-03-19
"21",0.989502,0.0761155,0.236653,0.160760166560893,63,0.850997,0.232537,0.28991226984127,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,29,0.5,19.5,19.5808646917534,21.9075,16.72,21.66,21.6582219812509,108.119,103.836,105.749,105.826589710536,"14","1","8","1","1","1","7","1","1","1","5","1","1","1",2015-03-20
"22",0.855524,0.0761155,0.236653,0.159595193547282,53,0.855524,0.236653,0.258142603773585,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20,18,19.5,19.6073407202216,21.675,21.635,21.66,21.6593214918946,107.596,104.558,105.833,105.957556712963,"14","1","6","1","0","0","7","1","0","0","4","1","0","0",2015-03-21
"23",2.12624,0.0761155,0.254345,0.168794654986872,70,2.12624,0.2426875,0.312153414285714,3.87019,0.0660367,3.87019,1.026841675,1,3.87019,3.87019,3.87019,6,6,0,NA,NA,NA,NA,NA,20,0.5,19.5,19.3061448427213,21.6775,11.7425,21.66,21.6569814951887,107.144,104.133,105.9335,106.030508564815,"18","1","2","1","0","0","9","1","0","0","7","1","0","0",2015-03-22
"24",5.27655,0,0.256243,0.172225383620655,95,5.27655,0.240698,0.329318357894737,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,27,0.5,19.5,19.234375,21.82,0.28,21.66,21.6530921687578,108.004,103.836,105.666,106.078284849191,"24","1","0","0","0","0","12","1","0","0","8","1","0","0",2015-03-23
"25",1.06108,0.0621481,0.248592,0.15176889083893,35,1.06108,0.248592,0.318336257142857,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20,0,19.5,19.4203539823009,23.43,7.685,21.66,21.6575088686178,107.706,104.086,105.8,106.028117592593,"9","1","8","1","0","0","5","1","0","0","3","1","0","0",2015-03-24
"26",2.39854,0,0.240698,0.146510635840637,22,2.03671,0.240698,0.557758181818182,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,NA,NA,NA,NA,NA,23,0,19,11.5359820089955,21.6875,0.005,21.66,19.820513712861,107.58,89.7296,105.126,100.398384031228,"7","1","10","1","0","0","4","1","0","0","2","1","0","0",2015-03-25
"27",4.23451,0,0.402765,0.219898284472676,86,4.23451,0.3689815,0.516845686046512,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,20,19,19.5,19.5520072992701,21.68,21.6475,21.66,21.6598372121812,109.099,105.078,106.233,106.650221296296,"24","1","1","1","17","1","12","1","8","1","8","1","6","1",2015-03-26
"28",5.49844,0.116268,0.378032,0.228591620496142,95,5.49844,0.33755,0.556225378947368,0.126451,0.0730701,0.126451,0.08953585,1,0.126451,0.126451,0.126451,6,6,0,NA,NA,NA,NA,NA,20,19,19.5,19.3053316800992,21.665,21.65,21.66,21.6601720673198,109.041,105.121,106.732,106.95528275463,"24","1","0","0","22","1","12","1","12","1","8","1","8","1",2015-03-27
"29",3.30497,0.107644,0.393059,0.232936289415696,95,3.30497,0.325907,0.474599105263158,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,NA,NA,NA,NA,NA,19.5,18.5,19.5,19.2612040133779,21.665,21.635,21.66,21.6595052117264,109.098,104.237,106.365,106.636525925926,"24","1","0","0","23","1","12","1","12","1","8","1","8","1",2015-03-29
"30",2.50295,0.116268,0.378032,0.226345669390843,96,2.50295,0.304462,0.5243735625,0.18812,0.0687106,0.1575,0.0987210625,2,0.18812,0.1575,0.1575,6,6,0,NA,NA,NA,NA,NA,21.5,17.5,19,19.2469788519637,21.7275,21.5975,21.66,21.6600700818655,108.573,104.344,106.3725,106.500506944444,"24","1","0","0","24","1","12","1","12","1","8","1","8","1",2015-03-30
"31",3.91385,0.0621481,0.3184105,0.205576215571509,89,3.91385,0.294794,0.52222904494382,0.121589,0.0687106,0.121589,0.092373675,1,0.121589,0.121589,0.121589,6,6,0,NA,NA,NA,NA,NA,31.5,0.5,19.5,19.2747252747253,22.01,18.09,21.66,21.6593725443505,108.195,96.3696,105.821,105.982056961,"23","1","1","1","21","1","11","1","9","1","8","1","6","1",2015-03-31
